TRN#_(INTERNAL);PER_FLU_RECIBO;PER_FLU_PAGO;FINALIDAD;DELIVERY/SETTLEMENT SWAPS;HEDGE LINK;SOSTENIBILIDAD;GAMMA;VEGA;DELTA
47941466;;;NE;C;;;0.0000;0.0000;-112708668936.0000
47941467;;;NE;C;;;0.0000;0.0000;-77876088451.0000
47941468;;;NE;C;;;0.0000;0.0000;-39060531245.0000
47941469;;;NE;C;;;0.0000;0.0000;-23407219767.0000
47941470;;;NE;C;;;0.0000;0.0000;-23565986413.0000
47941471;;;NE;C;;;0.0000;0.0000;-30845413067.0000
47941472;;;NE;C;;;0.0000;0.0000;11799777718.0000
47941473;;;NE;C;;;0.0000;0.0000;-19502015373.0000
47941474;;;NE;C;;;0.0000;0.0000;9820365258.0000
47941475;;;NE;C;;;0.0000;0.0000;854816494.0000
47941476;;;NE;D;;;0.0000;0.0000;-87380225215.0000
47941477;;;NE;C;;;0.0000;0.0000;-182276816610.0000
47941478;;;NE;C;;;0.0000;0.0000;-108057516081.0000
47941479;;;NE;C;;;0.0000;0.0000;-134948320959.0000
47941480;;;NE;C;;;0.0000;0.0000;-1463899480.0000
47941481;;;NE;C;;;0.0000;0.0000;-15814434689.0000
47941482;;;NE;C;;;0.0000;0.0000;-72473437353.0000
47941483;;;NE;C;;;0.0000;0.0000;3275552498.0000
47941484;;;NE;C;;;0.0000;0.0000;8487556911.0000
47941485;;;NE;C;;;0.0000;0.0000;-32405860457.0000
47941486;;;NE;C;;;0.0000;0.0000;20975816269.0000
47941487;;;NE;C;;;0.0000;0.0000;14936364605.0000
47941500;;;NE;C;;;0.0000;0.0000;783913248.0000
47941514;;;NE;C;;;0.0000;0.0000;-38840548174.0000
